Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
Taiwan,"Taipei County, Taipei City. Keelung city. other counties: Chiayi, Miaoli",16-Sep-01,20-Sep-01,5,90,10000,"200,000,000",Tropical cyclone,2,2802.78,4.4,121.29,24.9949
Italy,Naples,14-Sep-01,15-Sep-01,2,2,0,,Brief torrential rain,1,69.4003,2.1,14.2544,40.8829
Guinea,"Guinea - Haute Guinee, Kankan region: prefectures - Kankan, Siguiri, Mandiana, Kouroussa, and Kerouane. Niger Riverand its tributaries Sankarani, Fie, Milo, Djon, Niandan, Sankarani, Tinkisso and Mafou. Mali - Regions: Koulikoro, Segou, Sikasso, Bamako, Kidal, Mopti. Niger River and tributaries.",18-Aug-01,09-Oct-01,53,11,43500,,Heavy rain,2,264055.39,7.4,-9.22709,10.5493
Thailand,Provinces - Prae (Wang Shin and Mae Pung districts); Yasodhorn (five districts); Udorn-Tani(reservoir is overflowing); Amnatcharoen.,10-Sep-01,12-Sep-01,3,0,0,"11,110,000",Heavy rain,1,14946.03,4.7,103.442,16.6646
India,"Bihar State - Northern Districts: Gopalganj, East Champaran, Saran and Madhubani; also Saharsa, Samastipur, Begusarai, West Champaran, Sitamarhi, Muzaffarpur, Darbhanga, Sheohar, Siwan, Madhubani, Katihar, Vaishali and Patna. Towns; Muzaffarpur, Marhaura, Samastipur. Rivers: Ganga, Burhi Gandak, Gandak, Ghagra, Bagmati, Kosi and Adhwara group of rivers, Mahananda.",07-Sep-01,24-Sep-01,18,146,30000,"93,574,548",Heavy rain,1,30123.95,5.7,84.87,26.5321
Brazil,"Rio Grande do Sul State -Towns: Dom Pedrito, Cerrito, Quarai and Pedro Osorio. Rivers: Santa Maria, Piratini",03-Sep-01,04-Sep-01,2,3,2400,,Brief torrential rain,1,13039.84,4.4,-53.9487,-31.1727
India,"Eastern Uttar Pradesh State - Districts: Kushinagar, Gorakhpur, Maharajganj, Deoria, Sant Kabirnagar, Jaunpur, Sonebhadra and Bhadoi, Siddharthnagar, Azamgarh. Towns: Gorakhpur, Bansi, Turtipar, Rigauli, Mehdawal.Rivers: Rapti, Ghagra, Rohini",20-Aug-01,11-Sep-01,23,65,300000,,Heavy rain,1,35442.06,5.9,83.0513,26.7556
Nepal,"Western Districts: Arghakhanchi, Dolakha, Gulmi. Trishuli River near Kathmandu.",29-Aug-01,03-Sep-01,6,17,0,,Brief torrential rain,1,563.403,3.5,84.7936,27.8394
China,"Guangdong Province - Zhanjiang City area - 125 villages have been besieged by flood waters. Maoming, Wuchuan, Lianjiang. Hainan Province - ""most of the regions of the island province"" including Changjiang County. Guangxi Province -",28-Aug-01,09-Sep-01,13,4,50000,"24,000,000",Tropical cyclone,1,14470.91,5.3,109.503,19.39
Nigeria,"Kano State - Local government areas of Dawakin-Kudu, Kumbotso, Kunchi, Warawa and Wudil. Towns: Wudil, Kura, Gachi, Gidan Tukku, Garin-dau. Rivers: Wudil, Kano. Jigawa State - Local government areas Ringin and Taura. dam releases at Taura, Tiga, Goje, Hadejia-Jamare. Towns: Gwaram, Taura, Debi, Unguwar Bai, Zangon-Kara.",27-Aug-01,04-Sep-01,9,200,80000,,"Dam/Levy, break or release",2,14287.72,5.4,8.69841,11.7284
